group,query,video_id
base,AI future,1UufaK3pQMg
base,AI future,CRraHg4Ks_g
base,AI future,79-bApI3GIU
base,AI future,P7Y-fynYsgE
base,AI future,qyH3NxFz3Aw
base,AI future,eHSn50wnBRQ
base,AI future,Ny-qhl4N9dY
base,AI future,Iar4yweKGoI
base,AI future,OjWN5En9_NI
base,AI future,KpOcUrPdx-4
base,AI future,k7PvscqGD24
base,AI future,m-Wbn1htwdY
base,AI future,zWM_vXdesqE
base,AI future,5KVDDfAkRgc
base,AI future,5KmopXwjXik
base,AI future,EDb37y_MhRw
base,AI future,DFnoQkYUqgU
base,AI future,pc1_v13nnuQ
base,AI future,ypicIkaiViM
base,AI future,CkspCK5mGHA
base,AI future,waidznZ6Z2w
base,AI future,McYBgZrORi4
base,AI future,oa7FWO8i7kk
base,AI future,5MWT_doo68k
base,AI future,K9mLOwHnZr4
base,AI future,HyLmalrUQfE
base,AI future,8s7CdgJDuS0
base,AI future,eaZ2R1K-SjQ
base,AI future,jREMLory91s
base,AI future,1ZMCM3W5Veo
base,AI future,GCjmK66x_Yk
base,AI future,vFgjDSySYo8
base,AI future,leA3tvbnGkg
base,AI future,lTMJNHC3ffI
base,AI future,BFU1OCkhBwo
base,AI future,k_onqn68GHY
base,AI future,7zHkl-QgLpw
base,AI future,90pDQo0x_hY
base,AI future,l6d_0PB0Pbg
base,AI future,LqEuKlvqriU
base,AI future,zQThHCB_aec
base,AI future,LnrPppASOlE
base,AI future,Olv6wnHSbXk
base,AI future,-HzgcbRXUK8
base,AI future,wNJJ9QUabkA
base,AI future,CqDxUUGuGUo
base,AI future,JMYQmGfTltY
base,AI future,z2MUcmJS3aI
base,AI future,zsXxX7I5gTw
base,AI future,LYgLTraIe2I
base,AI future,zQ1POHiR8m8
base,AI future,p1yCOdp2vs0
base,AI future,0bnxF9YfyFI
base,AI future,Se6EuQ5Dn3g
base,AI future,m7tsa_5LFwQ
base,AI future,lohkvcnOssw
base,AI future,jt3Ul3rPXaE
base,AI future,uW-eYOxjUcY
base,AI future,gSBGNv9f8vU
base,AI future,0zXSrsKlm5A
base,AI future,tMr5JSZP9cw
base,AI future,vp2lLS2V12o
base,AI future,86k8N4YsA7c
base,AI future,KK5fxtPhS4I
base,AI future,zRuCpMKajZk
base,AI future,gwoT1DAIchw
base,AI future,EkuVqdj8O6E
base,AI future,Q0TpWitfxPk
base,AI future,V0YtEbI_GcM
base,AI future,w1La-HBdpqU
base,AI future,ytmM1qtV0qI
base,AI future,ZxvPdYMw_Sw
base,AI future,cJfKqKEyw1o
base,AI future,Rwqh3gk7Y1g
base,AI future,9i_CwlmdELA
base,AI future,DI0oiDCpEvU
base,AI future,D87GZptEopc
base,AI future,dNFc1jqtAkk
base,AI future,8s4rMKP_K84
base,AI future,PqVbypvxDto
base,AI future,P_6RhqaMUts
base,AI future,DPCvFy5BKeM
base,AI future,nPojPmL9YW8
base,AI future,p3qQr8kYfPQ
base,AI future,BYizgB2FcAQ
base,AI future,HfuFcTzNQoY
base,AI future,AGddzUqJT7g
base,AI future,UN4hwsZ_z9Q
base,AI future,xp8CRZBXb3I
base,AI future,XF-0qldJ6A8
base,AI future,mcxeEUC5B4M
base,AI future,bpc0QOAohl8
base,AI future,uMwjKyAPR34
base,AI future,1ICg-67iiV0
base,AI future,KVT5LCwZ6Vo
base,AI future,TtwIapjZX9I
base,AI future,uoU_1KORocQ
base,AI future,Otim2mDjsYM
base,AI future,fIkQ1fyUYNQ
base,AI future,UccvsYEp9yc
base,AI future,37aUuoRyMhM
base,AI future,XyZ83EEjXxU
base,AI future,LqrqArz8t-U
base,AI future,BYx63PKKPvg
base,AI future,_ltuZlGdMsg
base,AI future,r7rlRQ8o-ng
base,AI future,eS-zBphDk4I
base,AI future,bjnUJq5OONM
base,AI future,Z5mqrGGSqV8
base,AI future,xduMbYokGec
base,future of artificial intelligence,qyH3NxFz3Aw
base,future of artificial intelligence,1UufaK3pQMg
base,future of artificial intelligence,zWM_vXdesqE
base,future of artificial intelligence,CRraHg4Ks_g
base,future of artificial intelligence,EDb37y_MhRw
base,future of artificial intelligence,eHSn50wnBRQ
base,future of artificial intelligence,LnrPppASOlE
base,future of artificial intelligence,Ny-qhl4N9dY
base,future of artificial intelligence,5KmopXwjXik
base,future of artificial intelligence,79-bApI3GIU
base,future of artificial intelligence,KpOcUrPdx-4
base,future of artificial intelligence,5KVDDfAkRgc
base,future of artificial intelligence,m-Wbn1htwdY
base,future of artificial intelligence,VE-lb1X92cw
base,future of artificial intelligence,KK5fxtPhS4I
base,future of artificial intelligence,lTMJNHC3ffI
base,future of artificial intelligence,DFnoQkYUqgU
base,future of artificial intelligence,VpWO5EeGChg
base,future of artificial intelligence,P7Y-fynYsgE
base,future of artificial intelligence,0zXSrsKlm5A
base,future of artificial intelligence,ypicIkaiViM
base,future of artificial intelligence,tMr5JSZP9cw
base,future of artificial intelligence,oa7FWO8i7kk
base,future of artificial intelligence,pc1_v13nnuQ
base,future of artificial intelligence,5MWT_doo68k
base,future of artificial intelligence,gSBGNv9f8vU
base,future of artificial intelligence,1IxG7ywSNXk
base,future of artificial intelligence,jREMLory91s
base,future of artificial intelligence,waidznZ6Z2w
base,future of artificial intelligence,e9D9PHpuetQ
base,future of artificial intelligence,McYBgZrORi4
base,future of artificial intelligence,k_onqn68GHY
base,future of artificial intelligence,xhM3BTq7exU
base,future of artificial intelligence,l6d_0PB0Pbg
base,future of artificial intelligence,i_ekMkE_x3M
base,future of artificial intelligence,UmItR3kIfe4
base,future of artificial intelligence,40zBmnkRoio
base,future of artificial intelligence,Olv6wnHSbXk
base,future of artificial intelligence,u7gfh7E3g48
base,future of artificial intelligence,1ZMCM3W5Veo
base,future of artificial intelligence,XAo286zUyEc
base,future of artificial intelligence,lIW7tPBrfCQ
base,future of artificial intelligence,JMYQmGfTltY
base,future of artificial intelligence,GCjmK66x_Yk
base,future of artificial intelligence,jeEf9nQgm2w
base,future of artificial intelligence,jv-gnCQbhfM
base,future of artificial intelligence,OjWN5En9_NI
base,future of artificial intelligence,0mcgeEBpQN0
base,future of artificial intelligence,AG1AzZoE1hs
base,future of artificial intelligence,9lQpF3_WmkI
base,future of artificial intelligence,No8ZOZErpi0
base,future of artificial intelligence,0bnxF9YfyFI
base,future of artificial intelligence,z2MUcmJS3aI
base,future of artificial intelligence,UclrVWafRAI
base,future of artificial intelligence,LBwmpMnkon8
base,future of artificial intelligence,-HzgcbRXUK8
base,future of artificial intelligence,Rwqh3gk7Y1g
base,future of artificial intelligence,HyLmalrUQfE
base,future of artificial intelligence,qNk0qx_a5vQ
base,future of artificial intelligence,Iar4yweKGoI
base,future of artificial intelligence,lEJAGXD_jK4
base,future of artificial intelligence,zRuCpMKajZk
base,future of artificial intelligence,Otim2mDjsYM
base,future of artificial intelligence,cC4Pm8NS4CA
base,future of artificial intelligence,3URuI6gnJPU
base,future of artificial intelligence,8s4rMKP_K84
base,future of artificial intelligence,sl6bq1iC56Y
base,future of artificial intelligence,kE-IJLXd4ZI
base,future of artificial intelligence,4UbfkYx2k9s
base,future of artificial intelligence,vVZias4tg7g
base,future of artificial intelligence,8s7CdgJDuS0
base,future of artificial intelligence,7wfAcn9BJ9I
base,future of artificial intelligence,m7tsa_5LFwQ
base,future of artificial intelligence,4aVXJMXCLWk
base,future of artificial intelligence,BYx63PKKPvg
base,future of artificial intelligence,gsKtvzK82Us
base,future of artificial intelligence,fxmXYfHTCwU
base,future of artificial intelligence,ZG9MAwSm91c
base,future of artificial intelligence,7zHkl-QgLpw
base,future of artificial intelligence,GUyPQO_-9Lg
base,future of artificial intelligence,1JIB5GwCc_E
base,future of artificial intelligence,leA3tvbnGkg
base,future of artificial intelligence,UHL36U_sgbA
base,future of artificial intelligence,mERBjn6JotM
base,future of artificial intelligence,f-FyMY1LMwI
base,future of artificial intelligence,oA6jd0IrsVU
base,future of artificial intelligence,w4rG5GY9IlA
base,future of artificial intelligence,ROoK9LmUwsg
base,future of artificial intelligence,SKk82S_Wx_I
base,future of artificial intelligence,uoU_1KORocQ
base,future of artificial intelligence,_oBqVxQpXDw
base,future of artificial intelligence,Ndb6CA93McU
base,future of artificial intelligence,zQ1POHiR8m8
base,future of artificial intelligence,wWoSx73g1DI
base,future of artificial intelligence,zsXxX7I5gTw
base,future of artificial intelligence,-01liKNgDTg
base,future of artificial intelligence,2gBciMTmLao
base,future of artificial intelligence,EkuVqdj8O6E
base,future of artificial intelligence,yVG2kCgks1g
base,future of artificial intelligence,Isy96puQvYg
base,future of artificial intelligence,XF-0qldJ6A8
base,future of artificial intelligence,P_6RhqaMUts
base,future of artificial intelligence,wrlNSMtS_dU
base,future of artificial intelligence,ZxvPdYMw_Sw
base,future of artificial intelligence,GJWaSi1h-Kw
base,future of artificial intelligence,ZiXGaaBltGg
base,future of artificial intelligence,hmtuvNfytjM
base,future of artificial intelligence,u9Ji_p0ODKk
base,future of artificial intelligence,_Z4W6sWDo_4
base,future of artificial intelligence,86k8N4YsA7c
base,future of artificial intelligence,O1Ltt0j_8VI
base,future of artificial intelligence,aQFFG8Q_jfI
base,future of artificial intelligence,UFJQV5Jb0pY
base,future of artificial intelligence,G3sj23pqK9U
base,future of artificial intelligence,_mbX3lDgEB0
base,future of artificial intelligence,1G-X70bnJEg
base,future of artificial intelligence,dyt42j7XJaQ
base,AI will change the world,1UufaK3pQMg
base,AI will change the world,79-bApI3GIU
base,AI will change the world,pc1_v13nnuQ
base,AI will change the world,DFnoQkYUqgU
base,AI will change the world,id4YRO7G0wE
base,AI will change the world,Ny-qhl4N9dY
base,AI will change the world,uoU_1KORocQ
base,AI will change the world,wrlNSMtS_dU
base,AI will change the world,SP76PvgMzVU
base,AI will change the world,uCElhzG1ols
base,AI will change the world,5KVDDfAkRgc
base,AI will change the world,7krR4YQ_yNE
base,AI will change the world,p_kF_SDB0-c
base,AI will change the world,zWM_vXdesqE
base,AI will change the world,u7gfh7E3g48
base,AI will change the world,P_6RhqaMUts
base,AI will change the world,lTMJNHC3ffI
base,AI will change the world,m-Wbn1htwdY
base,AI will change the world,CRraHg4Ks_g
base,AI will change the world,UclrVWafRAI
base,AI will change the world,RiN33qvoDo0
base,AI will change the world,ubYFqng4iY8
base,AI will change the world,5FWjXRjWGeE
base,AI will change the world,cuHZ8xelnQs
base,AI will change the world,uMwjKyAPR34
base,AI will change the world,BFU1OCkhBwo
base,AI will change the world,k_onqn68GHY
base,AI will change the world,jeEf9nQgm2w
base,AI will change the world,JMYQmGfTltY
base,AI will change the world,jt3Ul3rPXaE
base,AI will change the world,jv-gnCQbhfM
base,AI will change the world,-zoCpFfOH04
base,AI will change the world,5MWT_doo68k
base,AI will change the world,Uz3ZkNeRunk
base,AI will change the world,mluG7orQN1Q
base,AI will change the world,UmItR3kIfe4
base,AI will change the world,Olv6wnHSbXk
base,AI will change the world,QX1Xwzm9yHY
base,AI will change the world,cgEw5HPOokk
base,AI will change the world,O5vAUMAsZDQ
base,AI will change the world,w9l7FyJ7mIk
base,AI will change the world,sl6bq1iC56Y
base,AI will change the world,9lQpF3_WmkI
base,AI will change the world,No8ZOZErpi0
base,AI will change the world,F-vEx81_h2w
base,AI will change the world,IidpM2DsrBE
base,AI will change the world,Otim2mDjsYM
base,AI will change the world,ypicIkaiViM
base,AI will change the world,zQ1POHiR8m8
base,AI will change the world,o-kZdtcW5js
base,AI will change the world,qyH3NxFz3Aw
base,AI will change the world,-OPhI8szPVo
base,AI will change the world,mWRe8w6YjO0
base,AI will change the world,kE-IJLXd4ZI
base,AI will change the world,iE1UwQj1kjo
base,AI will change the world,pNt4p7TExmY
base,AI will change the world,_oBqVxQpXDw
base,AI will change the world,86k8N4YsA7c
base,AI will change the world,jHrkQ928VNI
base,AI will change the world,qbrcZB-1hck
base,AI will change the world,qe9QSCF-d88
base,AI will change the world,Q0TpWitfxPk
base,AI will change the world,p1yCOdp2vs0
base,AI will change the world,GCjmK66x_Yk
base,AI will change the world,ZjiW-HVGPYk
base,AI will change the world,GJeFoEw9x0M
base,AI will change the world,LprYDqqbjQk
base,AI will change the world,iW-QpBtpzWU
base,AI will change the world,AmgOKf7xyfI
base,AI will change the world,vuleqKUGUlo
base,AI will change the world,Wzm2mNWT_ZI
base,AI will change the world,lxvIuoD-nOs
base,AI will change the world,gMicQCf3UXE
base,AI will change the world,KBIXQ-jG9wQ
base,AI will change the world,6GaWpvH7k6I
base,AI will change the world,pV9J9-LQ9NU
base,AI will change the world,dthbi4lzO58
base,AI will change the world,jE8C0FHWuks
base,AI will change the world,z2MUcmJS3aI
base,AI will change the world,Hyn4yL2tdO8
base,AI will change the world,CsCwkhxS_Wc
base,AI will change the world,RWBpWQNx81Y
base,AI will change the world,7CHr0qwTcJw
base,AI will change the world,Wd8RzZ3xn7w
base,AI will change the world,EDb37y_MhRw
base,AI will change the world,R6mTUK_yPKw
base,AI will change the world,VE-lb1X92cw
base,AI will change the world,mg3qDBPujqg
base,AI will change the world,vnPVfMo2ikU
base,AI will change the world,fwD9EnCzujM
base,AI will change the world,9DFOr17i78Q
base,AI will change the world,U4eq4WdgNBA
base,AI will change the world,0bnxF9YfyFI
base,AI will change the world,P7Y-fynYsgE
base,AI will change the world,1KXOclwOXRE
base,AI will change the world,NBq2YuL9Mo8
base,AI will change the world,Rwqh3gk7Y1g
base,AI will change the world,yFU003t-cTg
base,AI will change the world,LC7J_JOMrsg
base,AI will change the world,YE5adUeTe_I
base,AI will change the world,58xxTZ0YM5w
base,AI will change the world,KkRZ0PfJ06A
base,AI will change the world,udv-dOu4Efg
base,AI will change the world,b0C56yqIkbk
base,AI will change the world,1jLg-q4Fhmc
base,AI will change the world,hmdK_78_qiM
base,AI will change the world,dr0lgoA9wHU
base,AI will change the world,GwEjuhpo26o
base,AI will change the world,vJNDf1FEHUQ
base,AI will change the world,PK8tZNKLchE
base,AI will change the world,LXpc1YiXDoQ
base,AI will change the world,MWYLeDbdnVM
base,AI will change the world,GUyPQO_-9Lg
base,AI will change the world,3SmdvlzpcDY
base,AI will change the world,He5DnEJS5fk
base,AI will change the world,nzAG99YVd14
base,AI will change the world,vB2BQnjVxP8
base,AI will change the world,VZmFsKC7gIw
base,AI will change the world,vmAD-QLPQjk
base,AI will change the world,wWoSx73g1DI
base,AI will change the world,nthVbhbSr1s
base,AI will change the world,984qBh164fo
base,AI will change the world,37aUuoRyMhM
base,AI will change the world,4HTLxZLKyUM
base,AI will change the world,ivdOpoRy19w
base,AI in 10 years,2iy9RXAJblw
base,AI in 10 years,40zBmnkRoio
base,AI in 10 years,AmgOKf7xyfI
base,AI in 10 years,8JXwrVQQ4jw
base,AI in 10 years,SP76PvgMzVU
base,AI in 10 years,-siuI7moQcc
base,AI in 10 years,C5RTgMI-D24
base,AI in 10 years,CRraHg4Ks_g
base,AI in 10 years,zWM_vXdesqE
base,AI in 10 years,7kXQhTpXqA8
base,AI in 10 years,1UufaK3pQMg
base,AI in 10 years,EhQeGgZxdHU
base,AI in 10 years,LnR5f6l1mK0
base,AI in 10 years,2SCFAUzBv-4
base,AI in 10 years,uoU_1KORocQ
base,AI in 10 years,132uwKOO6bE
base,AI in 10 years,5MWT_doo68k
base,AI in 10 years,ojqje7Jy8bA
base,AI in 10 years,98YSzIcgZc0
base,AI in 10 years,GfnZBo18LPo
base,AI in 10 years,Ny-qhl4N9dY
base,AI in 10 years,_7l1J9DAwTs
base,AI in 10 years,5FWjXRjWGeE
base,AI in 10 years,VGFpV3Qj4as
base,AI in 10 years,zju51INmW7U
base,AI in 10 years,i3CFLisKZWw
base,AI in 10 years,_QdxrZrFunI
base,AI in 10 years,m-Wbn1htwdY
base,AI in 10 years,zt0JA5rxdfM
base,AI in 10 years,mvv3Nzqs9Rg
base,AI in 10 years,bCE2OqeqCPY
base,AI in 10 years,5KmopXwjXik
base,AI in 10 years,p1yCOdp2vs0
base,AI in 10 years,1jLg-q4Fhmc
base,AI in 10 years,GCjmK66x_Yk
base,AI in 10 years,xirarnG4CvE
